PersonRef,PersonID,PersonSystemId,FirstName,LastName,Other Details,Title,Occupation,Office,Residence,IsDeleted,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"JO/1445",1445,"JO","Andrew","Rutherford",,"Mr","schoolmaster",,"Prestonpans",0,"Commissioner in 1661-2.","jhm","08/09/02 12:20:04","jhm","12/12/03 14:17:24"
"JO/1446",1446,"JO","James","Oswald",,"Mr",,,"Prestonpans",0,"Commissioner in 1661-2.","jhm","08/09/02 12:20:54","jhm","12/05/03 14:26:53"
"JO/1447",1447,"JO","Thomas","Home",,,,"bailie","Prestonpans",0,"Involved as commissioner in 1661-2.","jhm","08/09/02 12:21:42","jhm","11/27/03 16:39:13"
"JO/1448",1448,"JO","Alexander","Henderson",,,,"bailie","Prestonpans",0,"Involved as commissioner in 1661.","jhm","08/09/02 12:22:30","jhm","11/27/03 14:40:00"
"JO/1449",1449,"JO","Ninian","Reid",,,,,"Prestonpans",0,"Involved as commissioner in 1661-2.","jhm","08/09/02 12:31:48","jhm","12/12/03 10:26:56"
"JO/145",145,"JO","George","Cathie",,,"witch-pricker",,"Tranent",0,"Questioned about his work by the Haddington presbytery. Involved in cases in 1649-50.","jhm","06/20/01 10:24:06","jhm","11/20/03 11:06:49"
"JO/1450",1450,"JO","David","Kyle",,,,"bailie","Haddington",0,"Commissioner in 1661 cases.","jhm","08/09/02 12:51:48","jhm","12/01/03 15:06:18"
"JO/1451",1451,"JO","William","Rig",,"of Carberry",,,"Carberry",0,"Commissioner in 1661. ?related to James Rig JO/298.","jhm","08/20/02 11:47:07","jhm","12/12/03 11:32:50"
"JO/1452",1452,"JO","John","Jossie",,"of Westpans",,,"Westpans",0,"Commissioner in 1661.","jhm","08/20/02 11:47:53","jhm","12/01/03 14:15:26"
"JO/1453",1453,"JO","Thomas","Smith",,,,,,0,"Commissioner in 1661, ?from Musselburgh. May be the same as Thomas Smith from Inveresk (LA/1710) who was involved in case in 1649 and also Thomas Snaith from Inveresk (LA/1607) als involved in 1649.","jhm","08/20/02 11:48:58","jhm","12/15/03 12:05:03"
"JO/1454",1454,"JO","Robert","Ramage",,,,,,0,"Commissioner in 1661. ?from Musselburgh.","jhm","08/20/02 11:49:24","jhm","12/12/03 09:55:34"
"JO/1455",1455,"JO","Robert","Strachan",,,,"bailie","Musselburgh",0,"Involved in 1649 and in 1661.","jhm","08/20/02 11:51:09","jhm","12/15/03 15:30:32"
"JO/1456",1456,"JO","Robert","Douglas",,,,"bailie","Musselburgh",0,"Commissioner in 1661.","jhm","08/20/02 11:51:55","jhm","11/20/03 15:25:09"
"JO/1457",1457,"JO","James","Jollie",,,,,"Prestonpans",0,"Commissioner in 1661.","jhm","08/20/02 13:50:23","jhm","12/01/03 14:13:22"
"JO/1458",1458,"JO","Alexander","Haliburton",,"of Johnstonburn",,,"Johnstonburn",0,"Commissioner in 1661.","jhm","08/20/02 14:02:53","jhm","01/09/04 12:07:17"
"JO/1459",1459,"JO","Alexander","Cockburn",,,,,"Letham",0,"Commissioner in 1661.","jhm","08/20/02 14:25:53","jhm","11/20/03 11:43:09"
"JO/1460",1460,"JO","Richard","Cairns",,"Mr of Pilmure",,,"Pilmure",0,"Commissioner in 1661. ?possibly the same as JO/1433.","jhm","08/20/02 14:45:41","jhm","01/07/04 10:44:07"
"JO/1461",1461,"JO","Patrick","Hepburn",,,,"bailie","Haddington",0,"Was formerly a bailie in Haddington before 1661, commissioner in 1661-2.","jhm","08/20/02 15:25:21","jhm","11/27/03 15:30:27"
"JO/1462",1462,"JO","Patrick","Inglis",,"of Elvingston",,,"Elvingston",0,"Commissioner in 1649.","jhm","08/20/02 16:44:55","jhm","12/01/03 10:38:43"
"JO/1463",1463,"JO","William","Baillie",,"Laird of Lamington",,,"Lamington",0,"Commissioner in 1649. May be the same as or related to JO/538.","jhm","08/20/02 16:45:46","jhm","01/22/04 14:25:30"
"JO/1464",1464,"JO","John","Cockburn","also recorded as bailie of Haddington","Mr of Clerkington",,"provost","Haddington",0,"Involved in cases in 1612, 1630, 1635 and 1649. This may have been more than one person (?father and son).","jhm","08/20/02 16:47:12","jhm","01/07/04 11:05:40"
"JO/1480",1480,"JO","Alexander","Gordon",,"of Earlston",,,"Earlston, Kirkcudbright",0,"Involved in 1628, 1630 and 1642.","jhm","08/26/02 14:29:44","jhm","11/25/03 12:43:06"
"JO/1481",1481,"JO","John","Gordon",,"of Ardwell",,,"Ardwell",0,"Commissioner in 1628.","jhm","08/26/02 14:30:45","jhm","11/25/03 12:54:55"
"JO/1482",1482,"JO","John","Stewart",,"Mr","minister",,"Kingarth",0,"Involved in cases on Bute in 1662. Minister at Kingarth 1665-82 and 1691-1703.","jhm","08/27/02 09:09:46","jhm","12/15/03 14:16:14"
"JO/1483",1483,"JO","James","Stewart",,"Mr",,,,0,"Involved with cases on Bute in 1662.","jhm","08/27/02 09:11:26","jhm","12/15/03 13:56:37"
"JO/1484",1484,"JO","James","Stewart",,"of Auchinleck",,,"Auchinleck",0,"Involved with cases on Bute in 1662.","jhm","08/27/02 09:13:17","jhm","12/15/03 13:57:35"
"JO/1485",1485,"JO","David","Ramsay",,"Major",,,,0,"Involved in 1662 cases on Bute.","jhm","08/27/02 09:27:20","jhm","12/12/03 09:58:00"
"JO/1486",1486,"JO","Walter","Stewart",,,,"bailie",,0,"Involved in cases on Bute in 1662.","jhm","08/27/02 09:27:59","jhm","12/15/03 15:01:11"
"JO/1487",1487,"JO","Alexander","MacIntyre",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 09:59:01","jhm","01/22/04 11:24:47"
"JO/1488",1488,"JO","Ninian","Allan",,,,,,0,"Involved in 1662 trials on Bute.","jhm","08/27/02 10:08:27","jhm","11/12/03 14:33:36"
"JO/1489",1489,"JO","Duncan","Mconlea",,,,"former bailie","Rothesay",0,"Involved in 1662 case on Bute.","jhm","08/27/02 10:24:04","jhm","12/02/03 11:29:56"
"JO/1490",1490,"JO","Robert","Stewart",,,,,,0,"Involved with case in 1673.","jhm","08/27/02 10:32:25","jhm","12/15/03 14:58:59"
"JO/1491",1491,"JO","John","Campbell",,,,,,0,"Involved in 1662 cases on Bute.","jhm","08/27/02 10:33:47","jhm","11/20/03 10:32:32"
"JO/1492",1492,"JO","Robert","Wallace",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 10:35:18","jhm","12/18/03 14:41:06"
"JO/1493",1493,"JO","Thomas","MacKinlay",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 10:35:42","jhm","12/02/03 11:10:10"
"JO/1494",1494,"JO","Donald","MacGilchrist",,,,,,0,"Involved in 1662 cases on Bute.","jhm","08/27/02 10:36:12","jhm","12/02/03 10:41:13"
"JO/1495",1495,"JO","Duncan","MacNicoll",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 10:36:33","jhm","12/02/03 11:28:47"
"JO/1496",1496,"JO","John","Boyle",,"Mr",,"session clerk, Rothesay","Rothesay",0,"Involved in Bute case in 1662.","jhm","08/27/02 11:34:24","jhm","12/19/03 14:44:05"
"JO/1497",1497,"JO","John","Auld",,"Mr",,"session clerk","Rothesay",0,"Involved in Bute case in 1662.","jhm","08/27/02 11:34:53","jhm","11/12/03 15:08:22"
"JO/1498",1498,"JO","John","MacIlverie",,,,,"Dalavich",0,"Involved in case in 1677/","jhm","08/27/02 13:42:00","jhm","12/02/03 10:47:49"
"JO/1499",1499,"JO","John","Gray",,,,"burgess","Rothesay",0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:00:39","jhm","11/27/03 10:45:18"
"JO/1500",1500,"JO","Ninian","Ker",,,,"bailie","Rothesay",0,"Involved in 1662 case.","jhm","08/27/02 14:01:53","jhm","01/22/04 10:41:20"
"JO/1501",1501,"JO","John","Kelburn",,"elder",,"burgess","Rothesay",0,"Involved in 1662 case. Note: elder taken to mean title rather than kirk office.","jhm","08/27/02 14:02:36","jhm","12/01/03 14:24:44"
"JO/1502",1502,"JO","John","Kelburn",,"younger",,"burgess","Rothesay",0,"Involved in 1662 case.","jhm","08/27/02 14:03:12","jhm","12/01/03 14:25:13"
"JO/1503",1503,"JO","Robert","Beith",,,,"burgess","Rothesay",0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:04:12","jhm","12/19/03 14:36:04"
"JO/1504",1504,"JO","Archibald","Glass",,,,"burgess","Rothesay",0,"Involved in 1662 case.","jhm","08/27/02 14:04:45","jhm","11/25/03 12:36:41"
"JO/1505",1505,"JO","William","Campbell",,"Major",,,,0,"Involved in 1662 cases on Bute.","jhm","08/27/02 14:05:42","jhm","11/20/03 10:36:30"
"JO/1506",1506,"JO","Archibald","Beith",,"Mr",,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:06:11","jhm","12/19/03 14:36:13"
"JO/1507",1507,"JO","Peter","Gray",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:06:52","jhm","11/27/03 10:45:55"
"JO/1508",1508,"JO","Alister","MacTyre",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:07:23","jhm","01/22/04 11:37:33"
"JO/1509",1509,"JO","James","MacNiven",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:07:41","jhm","12/02/03 11:29:09"
"JO/1510",1510,"JO","William","Gillespie",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/27/02 14:08:10","jhm","11/25/03 12:35:49"
"JO/1511",1511,"JO","Archibald","Stewart",,,,"provost",,0,"Involved in 1662 case on Bute. ?provost of Bute.","jhm","08/27/02 14:08:38","jhm","01/22/04 14:05:23"
"JO/1512",1512,"JO","Colin","Stewart",,,,"burgess","Rothesay",0,"Involved in case on Bute in 1662.","jhm","08/27/02 14:09:07","jhm","12/15/03 12:39:21"
"JO/1513",1513,"JO","Neill","MacNeill",,,,,,0,"Involved in 1662 case on Bute.","jhm","08/28/02 10:05:30","jhm","12/02/03 11:28:24"
"JO/1514",1514,"JO","Duncan","MacAlister",,,,,,0,"Involved in case on Bute in 1662.","jhm","08/28/02 10:06:09","jhm","12/02/03 10:22:53"
"JO/1515",1515,"JO","James","Stewart Adamson",,,,,,0,"Involved with case in 1662 on Bute.","jhm","08/28/02 10:13:34","jhm","12/15/03 15:09:53"
"JO/1517",1517,"JO","J","Livingston",,"Laird of Dunipace",,,"Dunipace",0,"Involved in trial in 1580.","jhm","09/05/02 14:39:30","jhm","12/01/03 16:11:55"
"JO/1739",1739,"JO","Agnes","Ewing",,,,,,0,"Identifier of witches in Fife in 1597.","jhm","09/09/02 13:31:35","jhm","11/20/03 16:57:00"
"JO/1740",1740,"JO","Marion","Ewing",,,,,,0,"Noted as an identifier of witches in Fife in 1597.","jhm","09/09/02 13:39:49","jhm","11/20/03 16:57:30"
"JO/1741",1741,"JO","Thomas","Hamilton","knight","Sir of Monkland","advocate","Lord Advocate","Monkland",0,"Involved in cases in 1596, 1605, 1609 and 1612. High state official. He started at the bench in 1592 ad Lord Drumcairnie, then knighted and became Sir Thomas Hamilton of Monkland. Also called Sir Thomas Hamilton of Bynnie in 1609.","jhm","09/09/02 14:47:49","jhm","11/27/03 12:48:19"
"JO/1742",1742,"JO","Robert","Munro",,"of Fowlis",,,"Fowlis",0,"Involved in 1577-8, 1589-90.","jhm","09/10/02 09:00:52","jhm","01/22/04 11:49:58"
"JO/1765",1765,"JO","Alexander","Falconer",,"of Halkerton",,,"Halkerton",0,"Commissioner in 1577-8 and also involved in 1590.","jhm","09/10/02 12:16:40","jhm","11/25/03 10:02:25"
"JO/1766",1766,"JO","Lachlan","MacIntosh",,"of Dunachton",,,"Dunachton",0,"Commissioner in 1577.","jhm","09/10/02 12:18:42","jhm","12/02/03 10:49:39"
"JO/189",189,"JO","Henry","Melis",,,"Lawyer","Procurator Fiscal",,0,"Involved in cases in 1673.","jhm","06/27/01 12:06:03","jhm","12/02/03 11:33:14"
"JO/190",190,"JO","Colin","Campbell",,"Sir of Aberuchill",,"Justice Depute","Aberuchill",0,"Involved in cases in 1673.","jhm","06/27/01 12:08:09","jhm","11/20/03 10:23:58"
"JO/191",191,"JO","Ninian","Bannatyne",,"younger of Kames",,"Justice Depute","Kames, Bute",0,"Involved in 1662 and 1673.","jhm","06/27/01 12:09:27","jhm","11/12/03 15:38:34"
"JO/192",192,"JO","Archibald","Bannatyne",,"of Lubas",,,"Lubas, Argyll",0,"Involved in 1673.","jhm","06/27/01 12:23:42","jhm","11/12/03 15:36:20"
"JO/2",2,"JO","James","Stewart",,,,,,0,"Chancellor in Aberdeen trials in 1597.","jhm","05/16/01 15:03:30","jhm","12/15/03 14:06:07"
"JO/282",282,"JO","Lucas","Sonsie",,,"Minister",,"Carrington",0,"Also recorded as Sousie. Minister at Carrington 1586-1619. Involved in case in 1613/","jhm","07/02/01 10:34:22","jhm","12/15/03 16:46:06"
"JO/283",283,"JO","John","Adamson",,,"minister",,"Liberton",0,"Involved in case in 1613. Minister at Liberton 1609-1623 when appointed principal of Ed University. Attended General Assembly in Aberdeen.","jhm","07/02/01 10:37:04","jhm","01/07/04 16:04:33"
"JO/284",284,"JO","William","Knox",,,"minister",,"Cockpen",0,"Involved in case in 1613. Minister at Cockpen from 1592 until 1623.","jhm","07/02/01 10:37:46","jhm","01/22/04 10:43:51"
"JO/285",285,"JO","James","Haistie",,,"minister",,"Temple",0,"Involved in case in 1613. Minister at Clerkington, then Fala then Temple from 1595-1620.","jhm","07/02/01 10:38:56","jhm","12/01/03 10:29:13"
"JO/286",286,"JO","William","Adinston",,,,,,0,"No details about this man. Involved in case in 1613.","jhm","07/02/01 10:52:36","jhm","11/12/03 14:16:30"
"JO/287",287,"JO","James","Dundas",,"Sir of Arnistoun",,,"Arnistoun",0,"Involved in cases in 1628.","jhm","07/02/01 12:40:45","jhm","11/20/03 16:09:17"
"JO/288",288,"JO","Patrick","Edmistoun",,"Mr",,,,0,"No residence given. Possibly the same as LA/1501 as both involved with cases from Dalkeith presbytery. Involved in cases in 1628-30.","jhm","07/02/01 12:42:41","jhm","11/20/03 16:31:48"
"JO/290",290,"JO","James","MacGill",,"Sir of Cranston",,"Sheriff Principal of Edinburgh","Cranston",0,"Involved in cases in 1628 and 1630.","jhm","07/02/01 16:12:33","jhm","01/22/04 11:23:43"
"JO/292",292,"JO","Archibald","Weddell",,"of Langside",,,"Langside",0,"Involved with cases in 1628. Possibly the same as or related to Archibald Weddell LA/431 as they were both involved with cases from East Lothian in 1628.","jhm","07/03/01 09:51:14","jhm","12/18/03 15:02:38"
"JO/293",293,"JO","Thomas","Meggat",,"of Masterton",,,"Masterton",0,"Also spelt Megot. Involved in cases in 1628-9, 1649 and 1661-2.","jhm","07/03/01 09:52:11","jhm","12/02/03 11:32:16"
"JO/295",295,"JO","James","Robertson",,"of Cranston","minister",,"Cranston",0,"Minister at Cranston 1617-1659. General Assembly member 1638 and on commissions in 1642 and 1645. Involved in cases and trials in 1628-30.","jhm","07/03/01 10:11:02","jhm","01/22/04 12:30:31"
"JO/296",296,"JO","James","Borthwick","son of Lord Borthwick","of Newbyres",,,"Newbyres",0,"Involved in case in 1628.","jhm","07/03/01 10:12:28","jhm","11/18/03 10:22:06"
"JO/297",297,"JO","Archibald","Tweedale",,"of Tweedale",,"baillie of regality of Dalkeith","Langside",0,"Involved in case in 1629.","jhm","07/03/01 12:10:55","jhm","12/18/03 11:13:36"
"JO/298",298,"JO","James","Rig",,"of Carberry",,,"Carberry",0,"Involved in cases in 1629-30. ?related to William Rig JO/1451.","jhm","07/03/01 12:12:01","jhm","12/12/03 11:32:18"
"JO/299",299,"JO","John","Preston",,"Sir of Airdrie",,,"Airdrie",0,"Involved in cases in 1629.","jhm","07/03/01 13:18:54","jhm","01/22/04 12:15:15"
"JO/3",3,"JO","David","Calderwood",,"Mr","minister",,"Pencaitland",0,"Minister of Pencaitland after 1641, prior to that was minister at Crailing and Nisbet in Jedburgh presbytery. Involved in investigation in 1608 and also in 1643.","jhm","05/17/01 12:23:54","jhm","11/20/03 10:17:26"
"JO/300",300,"JO","Simon","Ramsay",,"Mr of Whitehill",,,"Whitehill",0,"Involved in cases in 1629. Son was George Ramsay (LA/161) and may also have been related to John Ramsay (LA/1663).","jhm","07/03/01 13:19:43","jhm","01/22/04 12:23:24"
"JO/301",301,"JO","James","Porteous",,"Mr","minister",,"Borthwick",0,"Involved in cases in 1629, 1649 and 1651. Minister at Borthwick 1629-1651.","jhm","07/03/01 13:20:18","jhm","12/12/03 11:22:14"
"JO/302",302,"JO","John","Knox",,"Mr","minister",,"Carrington",0,"Involved in cases in 1629, 1643 and 1661. Minister at Carrington 1653-1659.","jhm","07/03/01 13:30:00","jhm","12/01/03 15:07:40"
"JO/303",303,"JO","Thomas","Copland",,"Mr","minister",,"Temple",0,"Also spelt Couplan. Involved in cases in 1629-30.","jhm","07/03/01 13:31:01","jhm","11/20/03 12:36:33"
"JO/304",304,"JO",,"Arniston",,"Lady",,,"Arniston",0,"No first name. Involved in cases from 1629 - 1630.","jhm","07/03/01 15:19:39","jhm","12/19/03 14:22:02"
"JO/305",305,"JO","Robert","Fairlie",,"Sir of Braid",,,"Braid",0,"?also of Penicuik. Involved in cases in 1629.","jhm","07/03/01 16:06:34","jhm","11/25/03 10:01:49"
"JO/306",306,"JO",,"Lothian",,"Lady",,,,0,"No first name. Involved in case in 1629.","jhm","07/03/01 16:14:38","jhm","12/01/03 16:25:23"
"JO/307",307,"JO","Oliver","Colt",,"Mr","minister",,"Inveresk",0,"Parish of Inveresk also known as Musselburgh. Involved in cases in 1649 and 1661.","jhm","07/05/01 10:08:12","jhm","01/07/04 11:08:10"
"JO/308",308,"JO","John","Logan",,"Mr","minister",,"Fala",0,"Involved in cases in 1649. Was minister at Fala 1618-1674. Member of Commission of Assembly in 1643.","jhm","07/05/01 13:02:09","jhm","12/01/03 16:52:08"
"JO/309",309,"JO","Adam","Penman",,"Mr","minister",,"Cockpen",0,"Don of William Penman (LA/202), minister at Crichton and brother of Gideon (JO/310) also minister at Crichton who was later accused of witchcraft. Involved in cases in 1649.","jhm","07/05/01 13:23:43","jhm","12/05/03 15:11:39"
"JO/310",310,"JO","Gideon","Penman",,"Mr","minister",,"Crichton",0,"Son of William (LA/202), minister at Crichton, and brother of Adam (JO/309), minister at Cockpen. Involved in cases in 1649, 1651 and 1661. He was later accused of witchcraft in 1678.","jhm","07/05/01 13:24:39","jhm","12/05/03 15:12:06"
"JO/312",312,"JO","Alexander","Udnye",,"of Auchlown",,,"Auchlown",0,"Involved in case/trial in 1597.","jhm","07/06/01 14:22:46","jhm","12/18/03 11:43:51"
"JO/313",313,"JO","Thomas","Tilideff",,"Mr","minister",,"Foveran",0,"Involved in case in 1597. Minister at Foveran 1582-1629.","jhm","07/06/01 14:24:12","jhm","01/22/04 15:14:50"
"JO/314",314,"JO","Patrick","Findlay",,"of Newburgh",,"elder","Newburgh",0,"Elder at Foveran church. Involved in case in 1597.","jhm","07/06/01 14:25:26","jhm","01/07/04 12:06:54"
"JO/315",315,"JO","James","Menzies",,"of Foveran","miller",,"Newmilne, Foveran",0,"Elder at Foveran, note this may refer to title or kirk office. Involved in case in 1597.","jhm","07/06/01 14:26:43","jhm","12/02/03 11:44:40"
"JO/316",316,"JO","Malie","Skene",,,,,,0,"Named as a witch in a case in 1597.","jhm","07/06/01 14:41:50","jhm","12/15/03 11:27:05"
"JO/317",317,"JO","Archibald","Turner",,"Mr","minister",,"Borthwick",0,"Involved in case in 1649. Minister at Borthwick 1648-1657.","jhm","07/09/01 10:13:27","jhm","12/18/03 11:40:56"
"JO/318",318,"JO","James","Wilkie","portioner","of Auld Liston",,,"Auld Liston",0,"Involved in case in 1661.","jhm","07/09/01 15:38:29","jhm","12/18/03 15:53:00"
"JO/319",319,"JO","Isobel","Thomson",,,,,,0,"Complainer in case in 1661.","jhm","07/09/01 15:39:56","jhm","12/17/03 11:16:20"
"JO/320",320,"JO","George","Drummond",,"Laird of Carlowrie",,,"Carlowrie",0,"Involved in cases in 1661-2.","jhm","07/09/01 15:44:17","jhm","11/20/03 15:35:21"
"JO/322",322,"JO","Thomas","Haderstone",,,,,"Duddingston",0,"Possibly from Duddingston as witnessed confession of Duddingston witches in 1661.","jhm","07/10/01 10:28:47","jhm","11/27/03 11:43:59"
"JO/323",323,"JO","Thomas","Crichton",,,,,"Duddingston?",0,"May have been from Duddingston. Involved in cases in 1661.","jhm","07/10/01 10:52:28","jhm","11/20/03 14:02:01"
"JO/324",324,"JO","William","Ker",,,,"Chamberlain to Lord Ker",,0,"Involved in case in 1662.","jhm","07/10/01 13:44:29","jhm","12/01/03 14:44:08"
"JO/325",325,"JO","Adam","Tait",,,,,,0,"Involved in case in 1662.","jhm","07/10/01 13:46:15","jhm","12/17/03 10:37:31"
"JO/326",326,"JO","John","Carse",,,,,,0,"Involved in case in 1662.","jhm","07/10/01 13:47:52","jhm","11/20/03 10:57:51"
"JO/327",327,"JO","Thomas","Lawson",,,,,,0,"Posssibly from Duddingston as witnessed confession. Involved in 1661.","jhm","07/10/01 16:02:36","jhm","12/01/03 15:34:26"
"JO/328",328,"JO","James","Thomson",,,,,,0,"?from Duddingston. Involved in case in 1661.","jhm","07/10/01 16:11:16","jhm","12/17/03 11:14:16"
"JO/329",329,"JO","Gilbert","Hall",,"Mr","minister",,"Kirkliston",0,"Minister between 1649 and 1663. Involved in cases in 1648 and 1661.","jhm","07/11/01 12:26:29","jhm","11/27/03 12:11:07"
"JO/330",330,"JO","David","Samuel",,,,"kirk elder","Kirkliston",0,"Involved in case in 1661. Note: elder refers to kirk office not title.","jhm","07/11/01 12:30:29","jhm","12/12/03 14:35:25"
"JO/331",331,"JO","Johne","Milne",,,"notary",,,0,"Involved in case in 1661.","jhm","07/11/01 12:39:37","jhm","12/05/03 11:43:58"
"JO/332",332,"JO","John","Barrowman",,,"lawyer/advocate","Justice Depute/clerk",,0,"Sent to Dalkeith for Janet Cock's trial  in 1661.","jhm","07/11/01 12:54:20","jhm","11/12/03 15:43:44"
"JO/333",333,"JO",,"Dundas",,"Young Laird of",,,,0,"Involved in case in 1661. Probably related to Sir Walter Dundas LA/245, Laird of Dundas elder LA/1528 and may be the same as/or related to Laird of Dundas the younger LA/1527.","jhm","07/11/01 13:01:14","jhm","12/19/03 13:18:50"
"JO/368",368,"JO","David","Lindsay",,"of Kirkliston",,,"Kirkliston",0,"Member of the kirk session. Involved in case in 1661.","jhm","07/16/01 10:19:51","jhm","12/01/03 16:06:00"
"JO/369",369,"JO","Alexander","Johnston",,,,,,0,"Involved in cases in 1661. From Linlithgow area.","jhm","07/16/01 10:57:00","jhm","12/01/03 14:14:38"
"JO/370",370,"JO","Alexander","Reid",,,,,,0,"Involved in case in 1661.","jhm","07/16/01 11:00:31","jhm","12/12/03 10:59:08"
"JO/371",371,"JO","John","Preston","bailie of Musselburgh","Mr of Whitehill",,"bailie","Whitehill",0,"Commissioner in 1661 and 1662.","jhm","07/17/01 09:09:58","jhm","12/05/03 16:10:50"
"JO/372",372,"JO","William","Little",,"Mr of Overliberton",,,"Liberton",0,"Involved in cases in 1661.","jhm","07/17/01 09:12:00","jhm","12/01/03 16:09:06"
"JO/373",373,"JO","Edward","Edgar",,"of Peffermill",,,"Edinburgh",0,"Involved in cases in 1661.","jhm","07/17/01 09:13:44","jhm","11/20/03 16:28:19"
"JO/374",374,"JO","James","Fairlie",,"Mr","minister",,"Lasswade",0,"Involved in case in 1661. Minister 1644-1658.","jhm","07/17/01 15:45:51","jhm","01/07/04 16:20:57"
"JO/375",375,"JO","Robert","Carson",,,"minister",,"Newton/Wolmet",0,"Member of Commissin of Assembly in 1645. Involved in cases in 1649 and 1661.","jhm","07/17/01 15:47:10","jhm","01/07/04 10:55:52"
"JO/376",376,"JO","Robert","Alison",,,"minister",,"Glencorse",0,"Also known as Glencross. Involved in case in 1661. Minister 1643-1674.","jhm","07/17/01 15:48:17","jhm","01/07/04 16:04:58"
"JO/377",377,"JO","Robert","Mowat",,"Mr","minister",,"Temple",0,"Involved in case in 1661. Minister at Temple 1656 and deprived in 1662. He was later indulged and moved to Heriot in 1669 but returned to Temple in 1690.","jhm","07/17/01 15:49:57","jhm","01/22/04 13:30:05"
"JO/379",379,"JO","Andrew","Borthwick",,"Mr of Sachlan",,,"Sachlan",0,"Also written as Sachuelle (?) assume this is the same man. Involved in cases in 1649. Place of residence may be Sauchland?","jhm","07/18/01 09:30:40","jhm","01/22/04 16:14:20"
"JO/380",380,"JO","Martin","Greenlaw",,"of Costertoun",,,"Costertoun",0,"Costertoun may refer to Costerton House at Crichton. Involved in cases in 1661.","jhm","07/18/01 09:31:20","jhm","11/27/03 10:55:29"
"JO/381",381,"JO","James","Scott",,"of Lochquharrit",,,"Lochquharrit",0,"Also spelled Lockwaret. Involved in cases in 1649, 1650 and 1661.","jhm","07/18/01 09:31:45","jhm","12/12/03 14:54:30"
"JO/382",382,"JO","William","Hamilton",,"Mr","minister",,"Cranstoun",0,"Minister between 1663-79. Involved in case in 1679.","jhm","07/18/01 12:20:56","jhm","11/27/03 12:49:55"
"JO/383",383,"JO","George","Kintore",,"Mr","minister",,"Penicuik",0,"Minister between 1664-79. Involved in case in 1679.","jhm","07/18/01 12:21:45","jhm","12/01/03 14:51:58"
"JO/384",384,"JO","John","Makmath",,"Mr","minister",,"Lasswade",0,"Minister between 1670-89, was assaulted by his parishoners a number of times and left fo England in 1689. Involved in cases in 1678-9.","jhm","07/18/01 12:27:40","jhm","12/02/03 12:32:17"
"JO/385",385,"JO","Janet","MacDougall",,,,,"Crichton",0,"Gideon Penman's servant, committed adultery and had child. Involved in 1679.","jhm","07/18/01 14:32:20","jhm","12/02/03 10:40:00"
"JO/436",436,"JO","Janet","Lyn",,,,,"Glasgow",0,"Mother of Elspit Scot, Involved in case in 1612.","jhm","07/23/01 12:17:09","jhm","12/01/03 16:35:42"
"JO/437",437,"JO","James","Dougall",,,,,"Glasgow",0,"Taught Elspit Scot charming, involved in 1612.","jhm","07/23/01 12:17:48","jhm","11/20/03 15:07:47"
"JO/438",438,"JO","William","Powrie",,"Mr","minister",,"Abercorn",0,"Minister from 1584-1622. Involved in cases in 1615.","jhm","07/23/01 12:56:00","jhm","12/05/03 16:00:12"
"JO/439",439,"JO","John","Book",,"Mr","minister",,"Kirkliston",0,"Minister at Kirkliston between 1611 and 1646. Involved in cases in 1615 and 1622.","jhm","07/23/01 12:56:46","jhm","11/18/03 10:18:31"
"JO/440",440,"JO","Robert","Cornwall",,"Mr","minister",,"Linlithgow",0,"Minister between 1597 and 1626. Involved in case in 1615.","jhm","07/23/01 12:57:38","jhm","01/07/04 11:13:52"
"JO/441",441,"JO","George","Inglis",,"Mr","minister",,"Bathgate",0,"At Bathgate 1595-1618. Involved in case in 1615.","jhm","07/23/01 13:20:44","jhm","12/01/03 10:36:17"
"JO/442",442,"JO","Alexander","Keith",,"Mr","minister",,"Uphall",0,"Minister from 1598 to 1639. Involved in cases in 1615 and 1622.","jhm","07/23/01 13:21:30","jhm","12/01/03 14:20:40"
"JO/443",443,"JO","Richard","Dickson",,"Mr",,,,0,"from ?Bo'ness. Involved in case in 1632.","jhm","07/23/01 16:23:20","jhm","11/20/03 14:57:30"
"JO/444",444,"JO","Ephraim","Melville",,"Mr","minister",,"Queensferry",0,"Minister at Queensferry 1641-50, then moved to Linlithgow. A zealous prosecutor of witches he made one man pay for his wife's execution by burning. Involved in cases in 1643-4.","jhm","07/24/01 12:25:37","jhm","01/22/04 11:38:09"
"JO/445",445,"JO","Hugh","Kennedy",,"Mr","minister",,"Easter Inch, Bathgate",0,"Raised by Samuel Rutherford, minister at Calder 1640s. Involved in cases in 1652 and 1658-9.","jhm","07/24/01 12:45:03","jhm","01/22/04 10:34:36"
