Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2014,Oneida,Mohawk River,Western,May,860,Brown Trout,8.3
2014,Hamilton,Mosquito Pond,Long Lake,September,300,Brook Trout,3.2
2015,Essex,East Branch Ausable River,Jay & Keene,April,3000,Rainbow Trout,8.4
2013,Chenango,Genegantslet Creek,NA,June,200,Brown Trout,13.1
2012,Steuben,Cohocton River,Avoca,April,1420,Brown Trout,9.5
2017,St Lawrence,Oswegatchie River,Clifton,May,340,Brown Trout,13
2018,Essex,Five Mile Run,Ticonderoga,April,100,Brown Trout,12
2011,Onondaga,Spruce pond,NA,March,200,Brook Trout,9.6
2013,Essex,Goose Pond,Schroon,September,600,Brook Trout,3.7
2015,Franklin,Deer River,Brandon,June,1000,Brown Trout,8.1
2018,Cattaraugus,Ischua Creek,Franklinville,April,1730,Brook Trout,9.2
2016,Essex,Brother Ponds,Moriah,October,500,Brook Trout,4.2
2015,Oneida,Wood Creek,Rome,April,770,Brown Trout,7.8
2013,Madison,Canaseraga Creek,Sullivan,June,220,Brown Trout,9.1
2017,Otsego,Arnold Lake,Hartwick,May,400,Rainbow Trout,9.6
2016,Delaware,Delaware River East Branch,Middletown,April,1640,Brown Trout,9
2014,Washington,West Branch Black Creek,Hebron,April,300,Brook Trout,9.6
2014,Suffolk,Deep Pond,Riverhead,October,400,Brown Trout,11.3
2014,Ulster,Belleayre Snow Making Pond,Shandaken,October,100,Brown Trout,12
2011,Chemung,Eldridge Lake,Elmira,May,500,Rainbow Trout,9.2
2014,Columbia,Queechy Lake,Canaan,April,1420,Rainbow Trout,9
2015,Wyoming,Letchworth Park Pond,Genesee Falls,May,260,Brook Trout,10
2016,Hamilton,Slim Pond,Arietta,January,200,Brook Trout,4.5
2014,Hamilton,Bullhead Pond,Indian Lake,May,240,Rainbow Trout,7.9
2012,Schuyler,Cayuta Creek,Catherine,April,450,Brown Trout,14.5
2014,Wyoming,Letchworth Park Pond,Genesee Falls,April,300,Brook Trout,9.2
2015,Essex,Cascade Brook,Keene,June,500,Brook Trout,8
2015,Essex,Springhill Pond,Ticonderoga,October,500,Rainbow Trout,6.2
2012,Sullivan,Willowemoc Creek,Rockland,May,1150,Brown Trout,9.2
2018,Essex,Boquet River,Elizabethtown,April,600,Brown Trout,12
2018,Franklin,Black Pond,Santa Clara,October,240,Brook Trout,4.5
2014,Greene,Basic Creek,Greenville,May,60,Brown Trout,13.6
2011,Greene,Schoharie Creek,Jewett,May,380,Brown Trout,8.6
2014,Orange,Ramapo River,Tuxedo,March,1580,Rainbow Trout,8.9
2012,Essex,West Branch Ausable River,North Elba,May,770,Brook Trout,8.1
2013,Allegany,Rushford Lake,Caneadea,May,1310,Brown Trout,9
2016,Ulster,Vernooy Kill,Wawarsing,April,220,Brown Trout,9
2018,Wayne,Lake Ontario,Sodus,May,39798,Lake Trout,7.2
2017,Steuben,Post Creek,Hornby,March,500,Brown Trout,9
2015,Franklin,Ampersand Brook,Harrietstown,May,610,Brook Trout,9
2015,Rensselaer,Mill Creek,E Greenbush,April,430,Brown Trout,7.8
2015,Delaware,Delaware River West Branch,Delhi,May,600,Brown Trout,8.7
2016,Washington,Batten Kill,Salem,May,250,Brown Trout,13.4
2017,Lewis,Black River,"Leyden, Lyonsdale",June,5600,Rainbow Trout,8.5
2018,Warren,Handicap Pond 1,Hatchery,April,40,Rainbow Trout,8.86
2017,Essex,Trout Brook,Minerva,June,1300,Brook Trout,8
2015,Herkimer,State Barge Canal,NA,August,2000,Tiger Muskellunge,7
2015,Chautauqua,Mill Creek,Gerry,April,100,Brown Trout,13.1
2014,Essex,LAKE PLACID,NORTH ELBA,March,800,Rainbow Trout,13
2014,Broome,Arctic Lake,Sanford,April,1970,Rainbow Trout,9.7
2017,Greene,Catskill Creek,Cairo,May,1070,Brown Trout,9
2016,Essex,Big Cherry Patch Pond,North Elba,October,1000,Brook Trout,4
2017,Hamilton,Sacandaga River,Wells,May,1650,Brown Trout,8
2016,Wyoming,Oatka Creek,Warsaw,April,1350,Brook Trout,9.4
2018,Warren,Mill Pond 1,Horicon,May,450,Rainbow Trout,14.25
2015,Essex,West Branch Ausable River,Wilmington,June,700,Rainbow Trout,13
2017,Franklin,Green Pond,Santa Clara,September,650,Brook Trout,5
2016,Sullivan,Mongaup River West Branch,Bethel,April,30,Brown Trout,13.7
2012,Chemung,Sing Sing Creek,Big Flats,March,180,Brown Trout,8.6
2012,Oneida,Black River,Forestport,April,100,Brown Trout,13.6
2017,Albany,Hannacrois Creek,Coeymans,April,130,Brown Trout,12.2
2014,Lewis,Mad River,Montague,April,400,Brook Trout,9.5
2017,Essex,Ausable River,Chesterfield,October,200,Rainbow Trout,14
2015,Essex,West Branch Ausable River,North Elba,May,100,Brown Trout,17
2013,Erie,Cazenovia Creek-East Branch,Aurora,April,10000,Steelhead,4.7
2017,Essex,Minerva Stream,Minerva,May,750,Brook Trout,8
2017,Washington,Batten Kill,Greenwich,May,250,Brown Trout,13.2
2015,Columbia,Taghkanic Creek,Greenport,April,200,Brown Trout,13
2014,Franklin,Tupper Lake,Altamont,April,10000,Lake Trout,6.5
2016,Chemung,Cayuta Creek,Van Etten,April,770,Brown Trout,13.6
2016,Warren,Little Joe Pond,Thurman,January,250,Brook Trout,5
2017,Essex,Boquet River,Elizabethtown,April,450,Brook Trout,7
2016,Putnam,Croton River East Branch,Southeast,March,1600,Rainbow Trout,9
2011,Greene,Batavia Kill,Windham,May,80,Brown Trout,8.8
2015,Herkimer,Fourth Lake,Webb,June,5000,Landlocked Salmon,7
2015,Hamilton,Bochen Lake,Morehouse,May,170,Brown Trout,7
2015,Onondaga,Jamesville Reservoir,Lafayette,June,6500,Walleye,1.7
2018,Steuben,Canisteo River,Hornellsville,April,1390,Brown Trout,8.8
2018,Warren,Palmer Pond 2 AS,Chester,May,500,Rainbow Trout,9.75
2016,Cortland,Otselic River,Cincinnatus,January,280,Brown Trout,14
2012,Essex,West Branch Ausable,Wilmington,May,225,Rainbow Trout,18
2017,Suffolk,Nissequogue River,Smithtown,March,150,Rainbow Trout,9
2018,Essex,Spruce Mill Brook,Lewis,September,300,Brook Trout,6
2015,Putnam,Croton River East Branch,Patterson,March,1710,Brown Trout,8.3
2018,Warren,Schroon River,Wbg - Grist Mill,May,700,Rainbow Trout,9.75
2014,Cattaraugus,Paisley Park Pond,Randolph,March,50,Brook Trout,8.9
2015,Suffolk,Carlls River,Babylon,March,100,Rainbow Trout,8.9
2013,Essex,Lower Twin Pond,North Hudson,September,250,Brook Trout,4.4
2012,Broome,Dudley Creek,Lisle,March,400,Brown Trout,8.9
2011,Chautauqua,Clay Pond,Poland,March,280,Brook Trout,9.4
2016,Cortland,East Branch Tioughnioga River,Cortlandville,May,400,Brown Trout,13
2018,Franklin,Lost Pond,Brighton,May,300,Brook Trout,2.3
2018,Tioga,East Branch Owego Creek,"Berkshire, Richford",May,2090,Brown Trout,9.4
2015,Franklin,Two Bridge Brook,Franklin,May,100,Brown Trout,13.4
2017,Madison,Chittenango Creek,Sullivan,May,120,Brown Trout,13.5
2012,Columbia,Roeliff Jansen Kill,Gallatin,April,350,Brown Trout,13.3
2012,Orange,Ringwood River,Warwick,April,310,Brown Trout,8.7
2013,Chautauqua,Lake Erie,Dunkirk,April,14450,Brown Trout,8.5
2017,St Lawrence,Grass River South Br,Clare,May,2560,Brown Trout,8.4
2014,Dutchess,Ten Mile River,Amenia,April,100,Brown Trout,13.7
2017,Oswego,South Branch Grindstone Creek,Richland,October,2000,Brook Trout,5
2015,Fulton,Cayadutta Creek,Johnstown(t),May,260,Brown Trout,7.9
2011,Essex,Ausable River,Chesterfield,June,600,Brown Trout,14
2018,Oneida,Mohawk River,Marcy,September,1000,Tiger Muskellunge,9.5
2012,Cattaraugus,Allegheny River,NA,November,190,Gilt Darter,2
2014,Rockland,Mahwah River,Ramapo,April,180,Brown Trout,8.5
2015,Suffolk,Hards Lake,Brookhaven,April,600,Brown Trout,8.8
2014,Columbia,Roeliff Jansen Kill,Clermont,April,6300,Brown Trout,8
2018,Cattaraugus,County Pond B,Randolph,March,100,Brook Trout,9
2015,Suffolk,Nissequogue River,Smithtown,March,200,Brown Trout,13.5
2017,Columbia,Kinderhook Creek,Kinderhook,April,330,Brown Trout,7.9
2018,Hamilton,Split Rock Lake,Morehouse,September,560,Brook Trout,5
2011,Onondaga,Pools Brook,NA,March,200,Brook Trout,8
2016,Oneida,West Canada Creek,"Trenton, Deerfield",January,680,Brown Trout,13
2012,Essex,Barnes Pond,Minerva,November,500,Brook Trout,4.2
2014,Warren,Wilcox Lake,Stony Creek,September,4700,Brook Trout,3.7
2013,Essex,West Branch Ausable River,Wilmington,May,700,Brown Trout,13
2016,St Lawrence,Lilypad Pond,Parishville,October,500,Brook Trout,4
2015,Franklin,Tupper Lake,Altamont,June,2000,Landlocked Salmon,7
2016,Ulster,Rochester Creek,Rochester,April,460,Brown Trout,9
2015,Cortland,West Branch Tioughnioga River,Homer,May,730,Brown Trout,8.1
2011,Erie,Cattaraugus Creek,Sardinia,April,2540,Brown Trout,8.9
2013,Otsego,Otsdawa Creek,Otego,April,330,Brown Trout,7.9
2018,Columbia,Taghkanic Creek,Greenport,April,2350,Brown Trout,7.9
2013,Dutchess,Wappingers Creek,Poughkeepsie,March,2110,Brown Trout,8.6
2015,Greene,Schoharie Creek,"Jewett, Hunter",April,1030,Brown Trout,8.1
2016,Orleans,Oak Orchard Creek,Carlton,May,63940,Chinook,3.2
2016,St Lawrence,Glasby Pond,Clifton,October,300,Brook Trout,4
2013,Fulton,Third Lake,Stratford,September,600,Brook Trout,4.1
2015,Monroe,Genesee River,Rochester,May,7090,Steelhead,5.9
2014,Essex,East Branch Ausable River,Jay & Keene,May,2500,Brown Trout,8.1
2017,Essex,Ausable River,Chesterfield,April,700,Rainbow Trout,13
2017,Cattaraugus,Case Lake,NA,October,35,Rainbow Trout,21
2013,Delaware,Delaware River West Branch,Delhi,April,1890,Brown Trout,8.6
2016,Essex,Barkeater Pond,Keene,May,100,Brown Trout,13
2012,Sullivan,Willowemoc Creek,Rockland,April,1690,Brown Trout,8.7
2012,Wayne,Lake Ontario,Sodus,May,50000,Chinook,3.7
2014,Chautauqua,Conewango Ck W Br,Villenova,April,570,Brown Trout,9.2
2014,Franklin,Plum Brook,Malone,April,750,Brown Trout,8.1
2013,Herkimer,Moyer Creek,Frankfort,May,360,Brown Trout,8.2
2017,Ulster,Esopus Creek,Olive,April,6440,Brown Trout,8.8
2015,Suffolk,Fort Pond,East Hampton,June,4000,Walleye,1.7
2014,Franklin,Black Pond,Santa Clara,October,300,Brook Trout,3.9
2014,Monroe,Lake Ontario,Hamlin,April,7750,Brown Trout,8.1
2015,Ulster,Sandburg Creek,Wawarsing,April,1030,Brown Trout,8.3
2018,Sullivan,Beaver Kill,Rockland,May,960,Brown Trout,9.4
2018,Hamilton,G Lake,Arietta,September,1430,Brook Trout,4.8
2013,Onondaga,Skaneateles Creek,NA,May,1000,Rainbow Trout,10
2016,Essex,Boreas River,Minerva,March,25,Rainbow Trout,16
2016,Sullivan,Callicoon Creek East Branch,Delaware,April,170,Brown Trout,9
2017,Franklin,Deer Pond,Santa Clara,May,430,Brown Trout,8
2016,Rockland,Sparkill Creek,Orangetown,March,690,Brown Trout,8.9
2016,Warren,Mill Creek 1,Johnsburg,April,600,Brook Trout,10
2016,Monroe,Lake Ontario,Webster,May,7750,Brown Trout,9
2016,Allegany,Genesee River,NA,October,25,Rainbow Trout,29.2
2013,Sullivan,Callicoon Creek East Branch,Delaware,April,110,Brown Trout,13.3
2015,Suffolk,Carmans River,Brookhaven,October,200,Brown Trout,11.8
2015,Ulster,Stony Kill,Rochester,May,310,Brook Trout,8
2015,Allegany,Hunt Creek,Alma,April,210,Brown Trout,8.9
2018,Hamilton,Squirrel Pond,Indian Lake,September,360,Brook Trout,3.5
2012,Onondaga,Green Lakes,NA,May,1300,Rainbow Trout,9.1
2016,Monroe,Irondequoit Creek,Mendon,April,27500,Steelhead,4.8
2018,Hamilton,Grant Lake,Benson,September,160,Brook Trout,5
2017,Lewis,Otter Creek,Greig,May,370,Brown Trout,8
2018,Ontario,Canandaigua Lake,Canandaigua (T),April,6960,Brown Trout,9
2015,Orange,Moodna Creek,Cornwall,March,100,Brown Trout,13.2
2016,Onondaga,Nine Mile,NA,March,700,Brown Trout,12
2013,Sullivan,Neversink Reservoir,Neversink,May,3000,Landlocked Salmon,6.9
2018,Clinton,Saranac River,Plattsburgh,March,45000,Landlocked Salmon,6.9
2017,Essex,Clear Pond,Ticonderoga,May,330,Brown Trout,8
2013,Franklin,Meacham Lake,Duane,April,2600,Splake,7.4
2011,Essex,Upper Preston Pond,Newcomb,October,700,Brook Trout,5.2
2014,Columbia,Taghkanic Creek,Greenport,April,200,Brown Trout,13.3
2012,Herkimer,Wolf Pond,Webb,November,200,Brook Trout,4.2
2017,Suffolk,Nissequogue River,Smithtown,October,300,Brown Trout,11.8
2011,Franklin,Ledge Pond,Santa Clara,May,1500,Brook Trout,2.9
2015,Essex,Boreas River,North Hudson,June,200,Rainbow Trout,13
2017,Suffolk,West Lake,Brookhaven,October,650,Brown Trout,12.2
2011,Essex,Westport Reservoir 1,Westport,May,90,Brook Trout,8.7
2015,Niagara,Lower Niagara River,Lewiston,May,128500,Chinook,3.1
2015,Nassau,Massapequa Reservoir,Oyster Bay,April,430,Brown Trout,8.8
2015,Oswego,Black Creek,Scriba,April,430,Brown Trout,7.9
2012,St Lawrence,Tamarack Pond,Clifton,November,650,Brook Trout,4.7
2014,Essex,Owen Pond,North Elba,May,392,Brown Trout,8.2
2015,Suffolk,Rattlesnake Creek,Islip,April,200,Rainbow Trout,9
2011,Otsego,Arnold Lake,Hartwick,May,550,Rainbow Trout,8.7
2015,Essex,Warren Pond,North Elba,September,300,Brook Trout,4
2017,Fulton,Middle Sprite Creek,"Oppenheim, Stratford",April,290,Brown Trout,8
2018,Orange,Shawangunk Kill,Crawford,March,1390,Rainbow Trout,9
2015,Essex,Courtney Pond,North Hudson,October,650,Brook Trout,4.3
2013,Livingston,Rattlesnake Pond 2,Ossian,September,200,Brook Trout,5.4
2012,Jefferson,Red Lake,Theresa,June,7900,Walleye,1.4
2014,Essex,Boquet River,E'town,May,5300,Brook Trout,8.4
2013,Greene,Kaaterskill,Catskill,May,690,Brown Trout,9
2016,Franklin,Panther Pond,Harrietstown,October,300,Brook Trout,4
2018,Cattaraugus,ALLEGHENY RESERVOIR,Coldspring,May,70000,Sauger,0.4
2012,Otsego,Otego Creek,Hartwick,May,530,Brown Trout,8.2
2016,Chautauqua,Canadaway Creek,Arkwright,April,200,Brook Trout,9
2015,Cortland,East Branch Tioughnioga River,Cortlandville,May,400,Brown Trout,13.2
2011,Essex,Ausable River,Chesterfield,April,500,Rainbow Trout,14
2016,Delaware,Big Pond,Andes,September,120,Brown Trout,20.2
2013,Ulster,Verkeeder Kill,Shawangunk,April,580,Brown Trout,8.7
2012,Essex,North Branch Boquet River,Lewis,April,1690,Brown Trout,8.1
2018,Suffolk,Hards Lake,Brookhaven,March,610,Rainbow Trout,9
2012,Greene,Schoharie Creek,Jewett,April,100,Brown Trout,13.5
2017,Chautauqua,Middle Cassadaga Lake,Stockton,October,150,Muskellunge,8.6
2011,Franklin,Sunrise Pond,Santa Clara,October,1000,Brook Trout,5.2
2014,Cattaraugus,Great Valley Creek,Great Valley,March,2370,Brown Trout,8.9
2015,Washington,Batten Kill,Greenwich,May,250,Brown Trout,13.5
2014,Essex,Boquet River,Lewis,May,20,Brown Trout,9.2
2012,Essex,West Branch Ausable (Ausable Acres),Jay,April,250,Rainbow Trout,14
2016,Wyoming,Cattaraugus Creek,Java,March,2070,Brown Trout,8.5
2012,Schoharie,Holding Pond,Cobleskill,April,180,Brown Trout,8.8
2016,Allegany,Genesee River,Wellsville,April,450,Brown Trout,13.5
2012,Suffolk,Belmont Lake,Babylon,March,750,Rainbow Trout,8.9
2012,Rensselaer,Poesten Kill,Poestenkill,May,310,Brown Trout,8.2
2014,Erie,Cattaraugus Creek,Sardinia,April,2590,Brown Trout,8.6
2016,Monroe,Oatka Creek,Wheatland,May,950,Brown Trout,9.5
2011,Chautauqua,Lakewood Club Channel,Busti,May,500,Panfish,9.4
2011,Essex,Barkeater Pond (Special Kids Fishing Area),Keene,May,150,Rainbow Trout,14
2017,Lewis,Long Pond,Croghan,May,1500,Brook Trout,9
2013,Essex,Little Rock Pond,Ticonderoga,September,500,Brook Trout,4.4
2015,Wyoming,East Koy Creek,Gainesville,March,650,Brown Trout,12.9
2011,Essex,West Branch Ausable River,Wilmington,May,700,Brown Trout,13.2
2017,Jefferson,Butterfield Lake,"Theresa, Alexandria",May,3020000,Walleye,0.3
2017,Essex,Shaw Pond,Newcomb,September,1000,Brook Trout,4
2012,Columbia,Kinderhook Creek,Kinderhook,April,350,Brown Trout,8
2015,Franklin,St. Germain Pond,Harrietstown,October,418,Brook Trout,6
2013,Allegany,Genesee River,Amity,March,4620,Brown Trout,8.4
2015,Fulton,Kennyetto Creek,Broadalbin,April,810,Brown Trout,7.8
2012,Herkimer,Moose River,Webb,April,1920,Brook Trout,8.8
2012,Greene,Colgate Lake,Jewett,May,100,Brown Trout,13
2011,Oneida,Fish Creek West Branch,Camden,June,1100,Brown Trout,8.8
2018,Lewis,Whetstone Marsh Pond,High Market,September,500,Tiger Muskellunge,8.5
2012,Franklin,St. Germain Pond,Harrietstown,November,190,Brook Trout,4.3
2018,Essex,Saranac River,St. Armand,May,1780,Brown Trout,8
2017,Franklin,Hoel Pond,Santa Clara,April,500,Landlocked Salmon,6.6
2011,Steuben,Canaseraga Creek,Dansville,April,500,Brown Trout,13.1
2011,Hamilton,Northup Lake,NA,October,600,Brook Trout,3.7
2012,Madison,Chittenango Creek,Sullivan,April,320,Brown Trout,12.4
2011,Rensselaer,Poesten Kill,Poestenkill,March,380,Brown Trout,7.8
2016,Franklin,Horseshoe Pond,Santa Clara,October,4000,Brook Trout,4
2016,Cortland,Merrill Creek,Marathon,April,520,Brown Trout,8
2014,Essex,CHUBB RIVER,NORTH ELBA,June,500,Brook Trout,9
2017,Albany,Hannacrois Creek,Coeymans,April,990,Brown Trout,8.2
2015,Franklin,Loon Pond,Brighton,September,1100,Brook Trout,4
2014,Franklin,Rock Pond,Harrietstown,October,1300,Brook Trout,4
2016,Rensselaer,Poesten Kill,Poestenkill,April,130,Brown Trout,7.9
2011,Delaware,Delaware River East Branch,"Middletown, Roxbury",April,680,Brown Trout,8.3
2012,Albany,Onesquethaw Creek,New Scotland,April,1150,Brown Trout,8.1
2014,Monroe,Lake Ontario,Greece,October,26950,Brown Trout,5.3
2014,Wyoming,Cattaraugus Creek,Java,April,1120,Brown Trout,8.7
2016,Hamilton,G Lake,Arietta,January,1000,Brook Trout,5
2014,Hamilton,Jessup River,Lake Pleasant,June,1100,Brook Trout,10.1
2014,Madison,Chittenango Creek,Fenner,May,4140,Brown Trout,8.5
2015,Warren,Upper Siamese Lake,Johnsburg,May,350,Rainbow Trout,9
2018,Broome,Nanticoke 7a,Maine,April,520,Rainbow Trout,9.3
2015,Hamilton,Otter Brook,Morehouse,June,700,Brook Trout,9.1
2016,Madison,Beaver Creek,Brookfield,January,100,Brown Trout,12.5
2014,Allegany,Dyke Creek,Andover,April,1490,Brown Trout,9
2015,Clinton,Taylor Pond,Black Brook,May,600,Landlocked Salmon,7
2014,St Lawrence,Ozonia Lake,Hopkinton,October,5000,Rainbow Trout,5.3
2016,Warren,Palmer Pond,Chester,January,250,Brown Trout,14
2018,Essex,Black Pond,North Elba,September,400,Brook Trout,4
2017,Niagara,Twelvemile Creek East Branch,Wilson,May,7500,Steelhead,5.2
2018,Saratoga,Geyser Brook,Saratoga Springs,April,350,Brown Trout,8
2014,Greene,Basic Creek,Greenville,April,790,Brown Trout,8.8
2016,Essex,Chubb River,North Elba,April,800,Brook Trout,8
2018,Genesee,Oatka Creek,Le Roy,May,200,Brown Trout,13.2
2014,Dutchess,Wappingers Creek,Pleasant Valley,May,950,Brown Trout,8.7
2018,Fulton,Cayadutta Creek,Johnstown(t),April,200,Brown Trout,12.4
2014,Franklin,Green Pond,Santa Clara,May,300,Splake,8.4
2018,Jefferson,Black River,Watertown,April,4350,Brown Trout,7.6
2018,Ulster,Esopus Creek,Olive,April,6790,Brown Trout,9.1
2011,Essex,Lake Champlain,Moriah,June,6270,Brown Trout,9
2018,Fulton,Broomstick Lake,Caroga,October,530,Brook Trout,4.8
2013,Niagara,Lake Ontario,Newfane,May,25480,Lake Trout,7.5
2014,Chemung,Wyncoop Creek,Baldwin,March,350,Brown Trout,8.9
2016,Essex,Boquet River,Lewis & E'town,May,2590,Brown Trout,8.5
2012,Sullivan,Willowemoc Creek,Rockland,June,150,Brown Trout,13.4
2013,Herkimer,Steele Creek,German Flats,April,900,Rainbow Trout,8
2013,Essex,Twentyninth Pond,Minerva,September,300,Brook Trout,3.4
2017,Essex,Clear Pond,Newcomb,May,400,Rainbow Trout,8
2017,Oneida,Mad River,Camden,May,3220,Brown Trout,8
2013,Herkimer,Evergreen Lake,Webb,October,1375,Brook Trout,4.3
2013,St Lawrence,Olmstead Pond,Clifton,October,300,Brook Trout,4.1
2012,Allegany,Genesee River,Amity,April,350,Brown Trout,13.2
2017,Sullivan,Callicoon Creek East Branch,Delaware,April,170,Brown Trout,8.8
2012,Suffolk,Connetquot River,Islip,May,200,Rainbow Trout,9.1
2011,Erie,Cazenovia Creek-East Branch,Aurora,March,300,Brown Trout,12.8
2018,Allegany,Genesee River,Amity,April,350,Brown Trout,13.5
2016,Allegany,Genesee River,NA,October,100,Brown Trout,12.8
2012,Livingston,Hemlock Lake,Livonia,October,6600,Lake Trout,6.3
2011,Wyoming,Buffalo Creek,Java,March,1100,Brown Trout,8.2
2013,Chenango,Otselic River,Pitcher,May,2320,Brown Trout,8.3
2016,Warren,Brant Lake,Horicon,January,2820,Brown Trout,8
2012,Franklin,Big Hope Pond,Franklin,October,1100,Brook Trout,5.4
2012,Oneida,West Canada Creek,"Trenton, Deerfield",April,680,Brown Trout,12.8
2011,Tompkins,Sixmile Creek,Caroline,March,1350,Brown Trout,8.8
2016,Essex,West Branch Ausable River,Wilmington,May,875,Brown Trout,18
2014,Oneida,Oriskany Creek,Kirkland,April,1410,Brown Trout,7.9
2011,Franklin,Salmon River,Malone,April,3390,Brown Trout,8.1
2015,Warren,Thirteenth Lake,Johnsburg,June,400,Landlocked Salmon,7
2011,Herkimer,Fourth Lake,Webb,May,4300,Landlocked Salmon,6
2017,Orange,Walton Lake,Monroe,April,350,Brown Trout,13
2016,Essex,Bloody Pond,North Hudson,October,200,Brook Trout,4.2
2017,Warren,Clear Pond,Chester/Minerva,May,150,Lake Trout,5.5
2017,Westchester,Cross River Reservoir Outlet,Bedford,April,100,Brown Trout,13
2017,Madison,Oneida Creek,Smithfield,May,330,Brown Trout,8
2014,Dutchess,Crum Elbow Creek,Hyde Park,March,260,Brown Trout,9
2014,Chenango,Chenango Lake,New Berlin,September,700,Tiger Muskellunge,8.3
2017,Hamilton,Sixth Lake,Inlet,May,1300,Rainbow Trout,9.1
2011,Madison,Chittenango Creek,Fenner,April,2370,Brown Trout,8.1
2017,Warren,Trout Brook,Chester,May,1600,Rainbow Trout,9
2017,Franklin,Moose Pond,Bloomingdale,November,25,Landlocked Salmon,20
2017,Herkimer,Witchhopple Lake,webb,May,300,Landlocked Salmon,7
2018,Cayuga,Fall Creek,Summer Hill,April,1500,Brook Trout,8.4
2016,Franklin,Upper Saranac Lake,Harrietstown,April,5900,Lake Trout,7
2017,Rensselaer,Walloomsac River,Hoosick,April,1070,Brown Trout,8
2016,Tioga,East Branch Owego Creek,"Berkshire, Richford",March,2370,Brown Trout,9
2013,Warren,Lake George,Lake George,October,1482,Landlocked Salmon,10
2011,Clinton,Salmon River,Plattsburgh & Schuyler Falls,April,3980,Brown Trout,8.2
2017,Rensselaer,Snyders Lake,Dedrick,June,2000,Walleye,0
2011,Delaware,Beaver Kill,Colchester,April,590,Brown Trout,8.4
2013,Delaware,Delaware River West Branch,Delhi,April,2110,Brown Trout,8.6
2011,Ulster,Verkeeder Kill,Shawangunk,April,680,Brown Trout,8.4
2017,Fulton,Canada Lake,Caroga,May,2600,Lake Trout,6.7
2017,Monroe,Irondequoit Creek,"Brighton, Penfield, Perinton",April,2390,Brown Trout,8.8
2016,Onondaga,Nine Mile,NA,March,450,Brook Trout,8
2018,Seneca,Seneca Lake,Fayette,September,26800,Lake Trout,5.8
2012,Suffolk,Connetquot River,Islip,March,270,Brown Trout,8.4
2012,Genesee,Dewitt Pond,Batavia,March,500,Brown Trout,13.4
2014,Broome,Dudley Creek,Lisle,March,400,Brown Trout,8.7
2016,Hamilton,Chub Pond,Indian Lake,January,150,Brook Trout,4.5
2011,Hamilton,Amos Lake,Arietta,September,150,Brook Trout,4.1
2013,Cayuga,Little Sodus Bay,Sterling,May,25000,Chinook,3.8
2015,Chemung,Cayuta Creek,Van Etten,April,3000,Brown Trout,8.9
2012,Erie,Sprague Brook Park A and B Pon,Concord,April,100,Brown Trout,13.7
2017,Westchester,Amawalk Inlet,Somers,April,540,Brown Trout,8.9
2011,Warren,Botheration Pond,Johnsburg,May,250,Brown Trout,8.3
2012,Essex,Bartlett Pond,Moriah,May,300,Brown Trout,14
2017,Essex,Winch Pond,Wilmington,September,550,Brook Trout,4
2013,Lewis,Oswegatchie River West Branch,Croghan,May,200,Brook Trout,9.3
2013,Clinton,Saranac River,Plattsburgh,April,27000,Landlocked Salmon,1.1
2013,Onondaga,Limestone,NA,April,325,Brown Trout,12.5
2014,Orange,Island Pond,Tuxedo,April,1300,Brook Trout,8.4
2014,Putnam,Croton River East Branch,Southeast,March,300,Brown Trout,13.5
2014,Hamilton,Buck Pond,Morehouse,September,400,Brook Trout,3.7
2016,Warren,Brant Lake,Horicon,October,2300,Rainbow Trout,6.2
2017,Hamilton,Black Mountain Pond,Indian Lake,October,200,Brook Trout,5
2016,Suffolk,Randall Pond,Brookhaven,March,50,Brown Trout,13.4
2012,Onondaga,Highland Forest,NA,April,40,Brown Trout,13
2011,Sullivan,Willowemoc Creek,Rockland,May,120,Brown Trout,13.4
2015,Orange,Rutgers Creek,Greenville,March,340,Brown Trout,8.3
2018,Otsego,Wharton Creek,Burlington,May,100,Brown Trout,13.4
2013,Warren,Botheration Pond,Johnsburg,May,220,Brown Trout,7.8
2014,Essex,Barkeater Pond,KEENE,May,100,Brown Trout,13
2016,Westchester,Mianus River,Bedford,March,690,Brown Trout,9
2015,Warren,Upper Twin Pond,Johnsburg,September,600,Brook Trout,4.6
2017,Nassau,Upper Twin Pond,Hempstead,March,400,Brown Trout,12.8
2013,Erie,Cayuga Creek,Lancaster,April,10000,Steelhead,4.7
2017,Essex,Winslow Pond,Newcomb,September,60,Rainbow Trout,20
2012,Essex,Black Pond,North Elba,November,158,Brook Trout,4.3
2018,Oneida,Mohawk River,Rome,April,1200,Brown Trout,13.4
2018,Hamilton,Bullhead Pond,Indian Lake,October,520,Brook Trout,4.6
2015,Franklin,Mountain Pond,Santa Clara,October,522,Brook Trout,6
2011,Madison,Oneida Creek,Smithfield,June,190,Brown Trout,9.8
2013,Delaware,Beaver Kill,Colchester,April,250,Brown Trout,13.2
2013,Franklin,Negro Brook,Franklin,April,290,Brown Trout,8.1
2012,Oneida,Mohawk River,Rome,May,3730,Brown Trout,9.2
2011,Suffolk,Lower Lake,Brookhaven,March,100,Brown Trout,13.5
2014,Nassau,Upper Twin Pond,Hempstead,November,700,Brown Trout,11.3
2012,Hamilton,Carry Pond,Lk Pleasant,September,200,Brook Trout,4.1
2016,Tioga,Owego Creek,"Tioga, Owego",April,520,Brown Trout,13.7
